rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation_function,param_batch_size,param_dropout_prob,param_epochs,param_learning_rate,param_n_hidden,param_n_neurons,params,split0_test_score,split0_train_score
1,0.7677010647031555,0.0,0.9571212036806314,0.0,1066.6297388076782,0.0,0.9120783805847168,0.0,elu,64,0.5,1000,0.01083380461103271,5,658,"{'n_neurons': 658, 'n_hidden': 5, 'learning_rate': 0.01083380461103271, 'epochs': 1000, 'dropout_prob': 0.5, 'batch_size': 64, 'activation_function': 'elu'}",0.7677010647031555,0.9571212036806314
2,0.7533044868357079,0.0,1.0,0.0,867.2361950874329,0.0,0.6272857189178467,0.0,selu,32,0.0,600,0.0006492410801360903,3,394,"{'n_neurons': 394, 'n_hidden': 3, 'learning_rate': 0.0006492410801360903, 'epochs': 600, 'dropout_prob': 0.0, 'batch_size': 32, 'activation_function': 'selu'}",0.7533044868357079,1.0
3,0.7490714301872283,0.0,0.9935757148285176,0.0,438.97208738327026,0.0,0.7554628849029541,0.0,elu,32,0.4,300,0.000847937205462181,3,489,"{'n_neurons': 489, 'n_hidden': 3, 'learning_rate': 0.000847937205462181, 'epochs': 300, 'dropout_prob': 0.4, 'batch_size': 32, 'activation_function': 'elu'}",0.7490714301872283,0.9935757148285176
4,0.7475947774129168,0.0,0.9967489395363388,0.0,384.848037481308,0.0,0.46396303176879883,0.0,selu,256,0.5,600,0.003623205981626937,3,828,"{'n_neurons': 828, 'n_hidden': 3, 'learning_rate': 0.003623205981626937, 'epochs': 600, 'dropout_prob': 0.5, 'batch_size': 256, 'activation_function': 'selu'}",0.7475947774129168,0.9967489395363388
5,0.7441598867706862,0.0,1.0,0.0,888.4716169834137,0.0,0.45795536041259766,0.0,elu,128,0.5,1000,0.0015320153844877206,5,1057,"{'n_neurons': 1057, 'n_hidden': 5, 'learning_rate': 0.0015320153844877206, 'epochs': 1000, 'dropout_prob': 0.5, 'batch_size': 128, 'activation_function': 'elu'}",0.7441598867706862,1.0
6,0.7397486199266161,0.0,0.9849970143631337,0.0,415.66595578193665,0.0,0.42070698738098145,0.0,relu,256,0.3,600,0.008397191603647101,2,1098,"{'n_neurons': 1098, 'n_hidden': 2, 'learning_rate': 0.008397191603647101, 'epochs': 600, 'dropout_prob': 0.3, 'batch_size': 256, 'activation_function': 'relu'}",0.7397486199266161,0.9849970143631337
7,0.7371727860624357,0.0,0.9813679131314169,0.0,264.9504544734955,0.0,0.5031170845031738,0.0,relu,1024,0.3,600,0.0006912026810364881,2,464,"{'n_neurons': 464, 'n_hidden': 2, 'learning_rate': 0.0006912026810364881, 'epochs': 600, 'dropout_prob': 0.3, 'batch_size': 1024, 'activation_function': 'relu'}",0.7371727860624357,0.9813679131314169
8,0.7289565933474584,0.0,0.9962519813607025,0.0,281.3110282421112,0.0,0.4990205764770508,0.0,selu,1024,0.3,600,0.0006348022617448862,1,632,"{'n_neurons': 632, 'n_hidden': 1, 'learning_rate': 0.0006348022617448862, 'epochs': 600, 'dropout_prob': 0.3, 'batch_size': 1024, 'activation_function': 'selu'}",0.7289565933474584,0.9962519813607025
9,0.7251590779422106,0.0,0.9956174254854266,0.0,406.33781242370605,0.0,0.40523338317871094,0.0,selu,32,0.1,300,0.0003004130607842449,1,712,"{'n_neurons': 712, 'n_hidden': 1, 'learning_rate': 0.0003004130607842449, 'epochs': 300, 'dropout_prob': 0.1, 'batch_size': 32, 'activation_function': 'selu'}",0.7251590779422106,0.9956174254854266
10,0.7247878809638095,0.0,0.9951216772763822,0.0,624.4731941223145,0.0,0.42080068588256836,0.0,elu,128,0.5,1000,0.0065043796417424615,3,477,"{'n_neurons': 477, 'n_hidden': 3, 'learning_rate': 0.0065043796417424615, 'epochs': 1000, 'dropout_prob': 0.5, 'batch_size': 128, 'activation_function': 'elu'}",0.7247878809638095,0.9951216772763822
11,0.7150253539177651,0.0,0.9918883855987246,0.0,1849.5803589820862,0.0,0.4891543388366699,0.0,relu,64,0.2,1000,0.002528054850786436,5,1928,"{'n_neurons': 1928, 'n_hidden': 5, 'learning_rate': 0.002528054850786436, 'epochs': 1000, 'dropout_prob': 0.2, 'batch_size': 64, 'activation_function': 'relu'}",0.7150253539177651,0.9918883855987246
12,0.7020761537174176,0.0,0.9941960835227063,0.0,397.136967420578,0.0,0.6153945922851562,0.0,relu,512,0.1,600,0.002187829208087414,3,1182,"{'n_neurons': 1182, 'n_hidden': 3, 'learning_rate': 0.002187829208087414, 'epochs': 600, 'dropout_prob': 0.1, 'batch_size': 512, 'activation_function': 'relu'}",0.7020761537174176,0.9941960835227063
13,0.6915692457722038,0.0,0.9305801961028953,0.0,293.7962007522583,0.0,0.45564818382263184,0.0,elu,1024,0.1,600,0.0015082832144478774,5,524,"{'n_neurons': 524, 'n_hidden': 5, 'learning_rate': 0.0015082832144478774, 'epochs': 600, 'dropout_prob': 0.1, 'batch_size': 1024, 'activation_function': 'elu'}",0.6915692457722038,0.9305801961028953
14,0.689498143386167,0.0,0.9584078737585932,0.0,239.39003467559814,0.0,0.4423339366912842,0.0,selu,128,0.2,300,0.021941954017593312,3,952,"{'n_neurons': 952, 'n_hidden': 3, 'learning_rate': 0.021941954017593312, 'epochs': 300, 'dropout_prob': 0.2, 'batch_size': 128, 'activation_function': 'selu'}",0.689498143386167,0.9584078737585932
15,0.6878414187610271,0.0,0.9891602953853323,0.0,313.69548869132996,0.0,0.43271327018737793,0.0,relu,128,0.0,300,0.0014742096190067035,1,1804,"{'n_neurons': 1804, 'n_hidden': 1, 'learning_rate': 0.0014742096190067035, 'epochs': 300, 'dropout_prob': 0.0, 'batch_size': 128, 'activation_function': 'relu'}",0.6878414187610271,0.9891602953853323
16,0.6852174291366804,0.0,0.9400482901561316,0.0,496.88192653656006,0.0,0.3929610252380371,0.0,elu,128,0.1,600,0.002460017064193432,1,1288,"{'n_neurons': 1288, 'n_hidden': 1, 'learning_rate': 0.002460017064193432, 'epochs': 600, 'dropout_prob': 0.1, 'batch_size': 128, 'activation_function': 'elu'}",0.6852174291366804,0.9400482901561316
17,0.6838155829338828,0.0,0.9990890079215131,0.0,277.5714023113251,0.0,0.41473817825317383,0.0,selu,32,0.0,300,0.0013843478156060334,2,49,"{'n_neurons': 49, 'n_hidden': 2, 'learning_rate': 0.0013843478156060334, 'epochs': 300, 'dropout_prob': 0.0, 'batch_size': 32, 'activation_function': 'selu'}",0.6838155829338828,0.9990890079215131
18,0.6703717386230847,0.0,0.7949508422989096,0.0,661.4877834320068,0.0,0.49163365364074707,0.0,relu,1024,0.0,1000,0.00533633480262502,1,1795,"{'n_neurons': 1795, 'n_hidden': 1, 'learning_rate': 0.00533633480262502, 'epochs': 1000, 'dropout_prob': 0.0, 'batch_size': 1024, 'activation_function': 'relu'}",0.6703717386230847,0.7949508422989096
19,0.6548009214289259,0.0,0.9132269211990756,0.0,491.74796772003174,0.0,0.4038398265838623,0.0,selu,1024,0.1,1000,0.016937613551133532,3,678,"{'n_neurons': 678, 'n_hidden': 3, 'learning_rate': 0.016937613551133532, 'epochs': 1000, 'dropout_prob': 0.1, 'batch_size': 1024, 'activation_function': 'selu'}",0.6548009214289259,0.9132269211990756
20,0.6358943277594928,0.0,0.8561787607299116,0.0,596.7133593559265,0.0,0.5140764713287354,0.0,relu,64,0.5,300,0.0023266763911387405,5,1882,"{'n_neurons': 1882, 'n_hidden': 5, 'learning_rate': 0.0023266763911387405, 'epochs': 300, 'dropout_prob': 0.5, 'batch_size': 64, 'activation_function': 'relu'}",0.6358943277594928,0.8561787607299116
21,0.6270552632217179,0.0,0.7462511378511197,0.0,583.9474687576294,0.0,0.37810349464416504,0.0,selu,128,0.1,1000,0.00816116005546083,1,505,"{'n_neurons': 505, 'n_hidden': 1, 'learning_rate': 0.00816116005546083, 'epochs': 1000, 'dropout_prob': 0.1, 'batch_size': 128, 'activation_function': 'selu'}",0.6270552632217179,0.7462511378511197
22,0.6243918021520631,0.0,0.8367470680644232,0.0,258.602858543396,0.0,0.4141395092010498,0.0,selu,1024,0.5,600,0.002671522691062444,1,278,"{'n_neurons': 278, 'n_hidden': 1, 'learning_rate': 0.002671522691062444, 'epochs': 600, 'dropout_prob': 0.5, 'batch_size': 1024, 'activation_function': 'selu'}",0.6243918021520631,0.8367470680644232
23,0.6211423055168319,0.0,0.8649342749437591,0.0,144.6008424758911,0.0,0.4983994960784912,0.0,elu,1024,0.1,300,0.009854229240712468,1,752,"{'n_neurons': 752, 'n_hidden': 1, 'learning_rate': 0.009854229240712468, 'epochs': 300, 'dropout_prob': 0.1, 'batch_size': 1024, 'activation_function': 'elu'}",0.6211423055168319,0.8649342749437591
24,0.5957462743895301,0.0,0.7451335351740787,0.0,755.3647775650024,0.0,0.4203817844390869,0.0,relu,64,0.2,600,0.01715812721408914,2,1356,"{'n_neurons': 1356, 'n_hidden': 2, 'learning_rate': 0.01715812721408914, 'epochs': 600, 'dropout_prob': 0.2, 'batch_size': 64, 'activation_function': 'relu'}",0.5957462743895301,0.7451335351740787
25,0.5912344503016135,0.0,0.8017213508010665,0.0,369.168741941452,0.0,0.478468656539917,0.0,selu,64,0.0,300,0.017061918143896907,4,970,"{'n_neurons': 970, 'n_hidden': 4, 'learning_rate': 0.017061918143896907, 'epochs': 300, 'dropout_prob': 0.0, 'batch_size': 64, 'activation_function': 'selu'}",0.5912344503016135,0.8017213508010665
